1557379021.051:782735469,ADB53C92-7245-60BB-72D3-95EC061C41CD:cron,MMAP,07E87BAE-732D-D58F-383B-111629036544,/etc/shadow,ta1-trace-2
1557377928.304:780652883,4658254C-2978-FD57-B74A-5040BBE26438:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557377928.304:780652882,4658254C-2978-FD57-B74A-5040BBE26438:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557377920.560:780637282,4658254C-2978-FD57-B74A-5040BBE26438:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557377920.560:780637281,4658254C-2978-FD57-B74A-5040BBE26438:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557377914.303:780625538,4658254C-2978-FD57-B74A-5040BBE26438:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557377914.303:780625537,4658254C-2978-FD57-B74A-5040BBE26438:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557377906.299:780610474,4658254C-2978-FD57-B74A-5040BBE26438:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557377906.299:780610473,4658254C-2978-FD57-B74A-5040BBE26438:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557377898.303:780595355,4658254C-2978-FD57-B74A-5040BBE26438:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557377898.303:780595354,4658254C-2978-FD57-B74A-5040BBE26438:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557377890.539:780579114,4658254C-2978-FD57-B74A-5040BBE26438:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557377890.539:780579113,4658254C-2978-FD57-B74A-5040BBE26438:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
