1557357421.963:737096766,749C1041-94CC-B7EE-B7B6-7D778C0ECC7D:cron,MMAP,07E87BAE-732D-D58F-383B-111629036544,/etc/shadow,ta1-trace-2
1557356920.914:735949886,989A025A-6A58-4F13-BCBB-A97A3B8CE23A:Socket Thread,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557356920.914:735949885,989A025A-6A58-4F13-BCBB-A97A3B8CE23A:Socket Thread,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557356912.914:735931996,989A025A-6A58-4F13-BCBB-A97A3B8CE23A:Socket Thread,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557356912.914:735931994,989A025A-6A58-4F13-BCBB-A97A3B8CE23A:Socket Thread,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557356905.414:735914957,D2AC5D26-176F-3335-0A0D-6E2C1BA55F05:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557356905.414:735914956,D2AC5D26-176F-3335-0A0D-6E2C1BA55F05:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557356890.410:735880330,D2AC5D26-176F-3335-0A0D-6E2C1BA55F05:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557356890.410:735880326,D2AC5D26-176F-3335-0A0D-6E2C1BA55F05:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557356373.896:734762751,DBCAA700-2947-4334-1E60-AABC5882832E:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557356373.896:734762750,DBCAA700-2947-4334-1E60-AABC5882832E:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557356365.904:734747737,DBCAA700-2947-4334-1E60-AABC5882832E:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557356365.904:734747736,DBCAA700-2947-4334-1E60-AABC5882832E:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557356358.192:734733095,DBCAA700-2947-4334-1E60-AABC5882832E:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557356358.192:734733094,DBCAA700-2947-4334-1E60-AABC5882832E:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557356343.184:734703287,DBCAA700-2947-4334-1E60-AABC5882832E:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557356343.184:734703286,DBCAA700-2947-4334-1E60-AABC5882832E:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
