1557383639.085:792217640,B1DE2CEF-D068-286B-CA82-8544563CC76D:resolvconf,EXECUTE,87E4B1C0-77B1-8DF6-070B-0575F7226257,cat,ta1-trace-2
1557383639.085:792217634,C91ECDF9-A5C6-C690-933A-260A91AAF593:resolvconf,FORK,B1DE2CEF-D068-286B-CA82-8544563CC76D,resolvconf,ta1-trace-2
1557383639.081:792217567,88E59CA9-EB8A-6882-4FC4-3DC711141D68:dhclient-script,EXECUTE,C91ECDF9-A5C6-C690-933A-260A91AAF593,resolvconf,ta1-trace-2
1557383639.081:792217555,DE8BD18D-575E-AF9E-B9BF-6100906C5558:dhclient-script,FORK,88E59CA9-EB8A-6882-4FC4-3DC711141D68,dhclient-script,ta1-trace-2
1557383639.069:792217289,42844DB3-CBFC-0676-5E05-E6785DE69546:dhclient-script,EXECUTE,DE8BD18D-575E-AF9E-B9BF-6100906C5558,dhclient-script,ta1-trace-2
1557382621.070:790153964,2506ECC1-F938-772A-B5F4-5A57DABFEA21:cron,MMAP,07E87BAE-732D-D58F-383B-111629036544,/etc/shadow,ta1-trace-2
1557382421.460:789697750,369C0068-26BE-7E22-8D0E-85FA6FC14CBD:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557382421.460:789697749,369C0068-26BE-7E22-8D0E-85FA6FC14CBD:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557382413.460:789679722,369C0068-26BE-7E22-8D0E-85FA6FC14CBD:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557382413.460:789679719,369C0068-26BE-7E22-8D0E-85FA6FC14CBD:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557382405.564:789662028,369C0068-26BE-7E22-8D0E-85FA6FC14CBD:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557382405.560:789662027,369C0068-26BE-7E22-8D0E-85FA6FC14CBD:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557382390.556:789627348,369C0068-26BE-7E22-8D0E-85FA6FC14CBD:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557382390.556:789627347,369C0068-26BE-7E22-8D0E-85FA6FC14CBD:firefox,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
