,host,detection_timestamp,source,Intermediate_process,SYSCALL_2,Target,Count,threat_Score,certainity_Score
0,ta1-trace-2,2019-05-14T10:26:48.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
1,ta1-trace-2,2019-05-14T10:27:11.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
2,ta1-trace-2,2019-05-14T10:27:39.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
3,ta1-trace-2,2019-05-14T10:27:39.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
4,ta1-trace-2,2019-05-14T10:41:11.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
5,ta1-trace-2,2019-05-14T10:41:11.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
6,ta1-trace-2,2019-05-14T10:27:24.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
7,ta1-trace-2,2019-05-14T10:27:51.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
8,ta1-trace-2,2019-05-14T10:27:51.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
9,ta1-trace-2,2019-05-14T10:27:42.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
10,ta1-trace-2,2019-05-14T10:27:42.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
11,ta1-trace-2,2019-05-14T10:33:15.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
12,ta1-trace-2,2019-05-14T10:33:15.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
13,ta1-trace-2,2019-05-14T10:41:37.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
14,ta1-trace-2,2019-05-14T10:41:37.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
15,ta1-trace-2,2019-05-14T10:27:21.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
16,ta1-trace-2,2019-05-14T10:34:46.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
17,ta1-trace-2,2019-05-14T10:34:47.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
18,ta1-trace-2,2019-05-14T10:27:40.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
19,ta1-trace-2,2019-05-14T10:27:40.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
20,ta1-trace-2,2019-05-14T10:27:58.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
21,ta1-trace-2,2019-05-14T10:28:03.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
22,ta1-trace-2,2019-05-14T10:29:29.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
23,ta1-trace-2,2019-05-14T10:29:29.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
24,ta1-trace-2,2019-05-14T10:30:27.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
25,ta1-trace-2,2019-05-14T10:30:27.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
26,ta1-trace-2,2019-05-14T10:37:44.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
27,ta1-trace-2,2019-05-14T10:37:44.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
28,ta1-trace-2,2019-05-14T10:27:45.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
29,ta1-trace-2,2019-05-14T10:27:45.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
30,ta1-trace-2,2019-05-14T10:25:18.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
31,ta1-trace-2,2019-05-14T10:26:54.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
32,ta1-trace-2,2019-05-14T10:39:21.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
33,ta1-trace-2,2019-05-14T10:39:21.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
34,ta1-trace-2,2019-05-14T10:23:38.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
35,ta1-trace-2,2019-05-14T10:28:28.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
36,ta1-trace-2,2019-05-14T10:28:28.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
37,ta1-trace-2,2019-05-14T10:26:11.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
38,ta1-trace-2,2019-05-14T10:52:30.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
39,ta1-trace-2,2019-05-14T10:52:30.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
40,ta1-trace-2,2019-05-14T11:14:41.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
41,ta1-trace-2,2019-05-14T11:14:41.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
42,ta1-trace-2,2019-05-14T11:02:27.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
43,ta1-trace-2,2019-05-14T11:02:28.000000000-04:00,sshd,,EXECUTE,sh,2.0,5.0,10.0
44,ta1-trace-2,2019-05-14T10:49:01.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
45,ta1-trace-2,2019-05-14T11:05:23.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
46,ta1-trace-2,2019-05-14T11:05:23.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
47,ta1-trace-2,2019-05-14T10:49:43.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
48,ta1-trace-2,2019-05-14T11:07:18.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
49,ta1-trace-2,2019-05-14T11:07:18.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
50,ta1-trace-2,2019-05-14T11:19:44.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
51,ta1-trace-2,2019-05-14T11:19:44.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
52,ta1-trace-2,2019-05-14T11:20:43.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
53,ta1-trace-2,2019-05-14T11:20:43.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
54,ta1-trace-2,2019-05-14T11:25:01.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
55,ta1-trace-2,2019-05-14T11:25:01.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
56,ta1-trace-2,2019-05-14T10:54:39.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
57,ta1-trace-2,2019-05-14T10:54:39.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
58,ta1-trace-2,2019-05-14T11:11:09.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
59,ta1-trace-2,2019-05-14T11:11:10.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
60,ta1-trace-2,2019-05-14T10:56:50.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
61,ta1-trace-2,2019-05-14T10:56:50.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
62,ta1-trace-2,2019-05-14T10:58:27.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
63,ta1-trace-2,2019-05-14T10:58:27.000000000-04:00,sshd,,EXECUTE,sh,1.0,5.0,10.0
64,ta1-trace-2,2019-05-14T10:47:11.000000000-04:00,sshd,,EXECUTE,sshd,1.0,5.0,10.0
