,host,detection_timestamp,Compromised Process,Inter_process,SYSCALL_2,detection_details,threat_Score,certainity_Score
0,ta1-trace-2,2019-05-14T10:27:39.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:ECBAA767-6070-DE8C-CAB4-FE0B471F88F8,EXECUTE,sh,2.0,10.0
1,ta1-trace-2,2019-05-14T10:41:11.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:DFE6D5BE-D7C3-4827-1379-14CB0835C357,EXECUTE,sh,2.0,0.0
2,ta1-trace-2,2019-05-14T10:27:51.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:D99752DA-DFD2-64C1-518A-60EFB4C058BC,EXECUTE,sh,2.0,10.0
3,ta1-trace-2,2019-05-14T10:27:42.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:3E5AFC63-FC02-19DD-DDEC-A685BBEBAC10,EXECUTE,sh,2.0,10.0
4,ta1-trace-2,2019-05-14T10:33:15.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:121A6CA1-2F5E-7C64-7752-042CF3EF2A3B,EXECUTE,sh,2.0,0.0
5,ta1-trace-2,2019-05-14T10:41:37.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:E08333DA-D7CE-14E2-E028-A88D82A1C037,EXECUTE,sh,2.0,0.0
6,ta1-trace-2,2019-05-14T10:34:47.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:670E52C9-8828-37A4-1E86-BD5B62FACF59,EXECUTE,sh,2.0,0.0
7,ta1-trace-2,2019-05-14T10:27:40.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:D0F6F54D-F8EA-5F9D-95C8-B7CFAA28447F,EXECUTE,sh,2.0,10.0
8,ta1-trace-2,2019-05-14T10:27:58.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:B87D4159-BE35-EDC2-BB28-5DCD8BE484C8,EXECUTE,sh,2.0,10.0
9,ta1-trace-2,2019-05-14T10:27:58.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sh:923DFCC7-D358-D2D2-8998-7EE5454B2454,FORK,sh,2.0,10.0
10,ta1-trace-2,2019-05-14T10:28:03.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:91F0CA24-B383-395E-AC8B-FB28186F4F63,FORK,sh,2.0,10.0
11,ta1-trace-2,2019-05-14T10:29:29.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:92E153DA-B7E8-C5F5-F0A8-C6AA94C32B45,EXECUTE,sh,2.0,10.0
12,ta1-trace-2,2019-05-14T10:30:27.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:645C44F8-2861-1ABA-B034-DD475DAFF8F4,EXECUTE,sh,2.0,10.0
13,ta1-trace-2,2019-05-14T10:37:44.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:4A7C8B8F-A51A-25D7-3129-3B30F884C8D9,EXECUTE,sh,2.0,0.0
14,ta1-trace-2,2019-05-14T10:27:45.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:0EC2404B-CC15-3F36-987B-CA6F7926C04C,EXECUTE,sh,2.0,10.0
15,ta1-trace-2,2019-05-14T10:39:21.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:E38A09AB-6FC3-5049-72E0-CEA09CDAA260,EXECUTE,sh,2.0,0.0
16,ta1-trace-2,2019-05-14T10:28:28.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:BCFC75A7-98DA-0B72-C708-4EF6A2942572,EXECUTE,sh,2.0,10.0
17,ta1-trace-2,2019-05-14T10:52:30.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:A6F75510-0035-BE55-B4B9-30DB81BEDFE9,EXECUTE,sh,2.0,0.0
18,ta1-trace-2,2019-05-14T11:14:41.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:053D9E66-99F9-33A9-A2C7-EE678595182A,EXECUTE,sh,2.0,0.0
19,ta1-trace-2,2019-05-14T11:02:28.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:880DB2C4-8749-4E2C-7364-0CFB168829DD,EXECUTE,sh,2.0,0.0
20,ta1-trace-2,2019-05-14T11:05:23.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:878B4602-9B02-C4BE-3587-AA89B362BB7E,EXECUTE,sh,2.0,0.0
21,ta1-trace-2,2019-05-14T11:07:18.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:1F717ABE-7603-A71A-8F58-5AC6BADEE7E0,EXECUTE,sh,2.0,0.0
22,ta1-trace-2,2019-05-14T11:19:44.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:C2483AA7-FFCA-80C9-A62E-25245934E3AC,EXECUTE,sh,2.0,0.0
23,ta1-trace-2,2019-05-14T11:20:43.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:7EF1AD74-B2A4-49E9-F0D4-21DF79926360,EXECUTE,sh,2.0,0.0
24,ta1-trace-2,2019-05-14T11:25:01.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:3E3B838B-B604-32B9-0945-AB73863B9886,EXECUTE,sh,2.0,0.0
25,ta1-trace-2,2019-05-14T10:54:39.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:CF7D51FD-7C3C-CEAE-6483-12741193EDF1,EXECUTE,sh,2.0,0.0
26,ta1-trace-2,2019-05-14T11:11:10.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:C482C3E1-0EA1-23C1-4CC9-10C90A6142F3,EXECUTE,sh,2.0,0.0
